,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
367,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
368,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,1976-12-08,6.5229333333333335,85,0.579,0.00574,0.508,0.000494,0.0575,-9.484,0.027,147.125,4
369,Hope,?,XXXTENTACION,2018-03-16,1.8481,86,0.592,0.661,0.457,0.000331,0.146,-6.081,0.0603,146.04,4
370,Home,Up from Below,Edward Sharpe & The Magnetic Zeros,2009-07-14,5.053333333333334,71,0.542,0.292,0.589,0.000522,0.177,-6.623,0.0318,111.665,4
371,As It Was,As It Was,Harry Styles,2022-03-31,2.7883833333333334,96,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
372,Heartless,After Hours,The Weeknd,2020-03-20,3.3044333333333333,80,0.537,0.0236,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4
373,Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Diplo,2020-05-29,2.8204333333333333,78,0.765,0.275,0.556,0.0,0.0824,-6.417,0.0512,111.033,4
374,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
375,Her,Traumazine,Megan Thee Stallion,2022-08-12,2.2851166666666667,78,0.945,0.374,0.848,3.31e-05,0.101,-4.76,0.326,119.918,4
376,Heyy,Heyy,Lil Baby,2022-10-10,3.2121166666666667,73,0.493,0.00256,0.666,0.0,0.0797,-4.525,0.268,87.932,5
377,Late Night Talking,Harry's House,Harry Styles,2022-05-20,2.9659,93,0.714,0.298,0.728,0.0,0.106,-4.595,0.0468,114.996,4
378,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,3.3061666666666665,85,0.449,0.524,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3
379,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,4.03755,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,4
380,Hotel Room Service,Pitbull Starring In Rebelution,Pitbull,2009-08-31,3.9606666666666666,74,0.851,0.00705,0.629,0.000372,0.0746,-8.385,0.175,125.984,4
381,happier,SOUR,Olivia Rodrigo,2021-05-21,2.9322166666666667,86,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3
382,Hey There Delilah,All That We Needed,Plain White T's,2005-01-01,3.87555,81,0.656,0.872,0.291,0.0,0.114,-10.572,0.0293,103.971,4
383,Here,Know-It-All,Alessia Cara,2015-11-13,3.3242166666666666,71,0.376,0.0785,0.821,0.0,0.0823,-3.974,0.104,120.462,4
384,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,2.9837666666666665,88,0.593,0.268,0.935,0.0,0.286,-3.43,0.225,99.976,4
385,House of Memories,Death of a Bachelor,Panic! At The Disco,2016-01-15,3.4784333333333333,86,0.506,0.00272,0.817,0.0,0.0486,-5.051,0.0335,109.952,4
386,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
387,Head Over Heels,Rule The World: The Greatest Hits,Tears For Fears,2017-11-10,4.2691,70,0.602,0.502,0.839,0.00128,0.095,-4.251,0.0255,95.159,4
388,HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc & Phew),Quavo,2022-05-20,2.3776166666666665,80,0.821,0.142,0.636,0.0,0.233,-4.479,0.169,127.961,4
389,Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,2016-06-10,2.2653333333333334,84,0.724,0.118,0.573,0.0,0.538,-4.113,0.0549,113.088,4
390,HASTA LA MUERTE,NOSTALGIA,Eslabon Armado,2022-05-06,3.4983666666666666,78,0.555,0.28,0.832,0.0,0.0894,-3.691,0.0412,170.124,3
391,Ghostbusters,Greatest Hits,Ray Parker Jr.,1993-10-12,3.98555,70,0.778,0.0123,0.719,0.0262,0.297,-9.698,0.0345,115.4,4
392,Headlines,Take Care (Deluxe),Drake,2011-11-15,3.9331,78,0.636,0.365,0.566,0.000353,0.0917,-7.16,0.106,151.894,4
393,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.339,100.028,4
394,This Is Halloween,Nightmare Before Christmas Special Edition,Various Artists,2006-01-01,3.276,73,0.569,0.768,0.508,0.0,0.145,-12.823,0.0502,167.624,4
395,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,3.9202166666666667,82,0.727,0.103,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
396,Monster Mash,The Original Monster Mash,"Bobby ""Boris"" Pickett",1962,3.2006666666666668,71,0.541,0.375,0.504,0.0,0.421,-14.191,0.457,68.482,4
397,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,3.6128833333333334,83,0.673,0.185,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
398,Thriller,Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,5.954433333333333,74,0.773,0.0855,0.859,0.000187,0.914,-4.913,0.0747,118.459,4
399,Highway to Hell,Highway to Hell,AC/DC,1979-07-27,3.473333333333333,85,0.574,0.061,0.913,0.00158,0.156,-4.793,0.133,115.728,4
400,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
401,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,2.9206333333333334,99,0.561,0.00383,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4
402,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4
403,Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,3.8002166666666666,89,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3
404,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,2.6157166666666667,100,0.714,0.013,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,4
405,I Love You So,I Love You So,The Walters,2014-11-28,2.67065,89,0.575,0.583,0.648,0.0,0.115,-4.891,0.0358,75.977,4
406,As It Was,As It Was,Harry Styles,2022-03-31,2.7883833333333334,96,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
407,It's Corn,It's Corn,Tariq,2022-08-28,2.79555,75,0.744,0.00458,0.829,0.00124,0.156,-7.576,0.0272,101.993,4
408,I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,4.017766666666667,91,0.323,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4
409,Iris,Dizzy up the Girl,The Goo Goo Dolls,1998-09-11,4.82555,84,0.315,0.00125,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,3
410,I Wanna Be Yours,AM,Arctic Monkeys,2013-09-09,3.065933333333333,92,0.464,0.136,0.417,0.022,0.0974,-9.345,0.0256,67.528,4
411,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,3.756466666666667,93,0.78,0.0368,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4
412,Under The Influence,Indigo (Extended),Chris Brown,2019-10-04,3.0768833333333334,96,0.733,0.0635,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,4
413,I Wonder,Graduation,Kanye West,2007-09-11,4.057333333333333,82,0.542,0.141,0.466,0.000445,0.125,-8.665,0.0831,191.385,4
414,It Was A Good Day,The Predator,Ice Cube,1992-11-17,4.333333333333333,82,0.798,0.33,0.744,0.000106,0.292,-5.328,0.136,82.356,4
415,As It Was,Harry's House,Harry Styles,2022-05-20,2.7883833333333334,93,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
416,I'm So Sick,Flyleaf,Flyleaf,2006-01-01,2.9313333333333333,73,0.429,6.46e-05,0.96,6.27e-06,0.102,-4.261,0.0914,153.932,4
417,I Really Want to Stay at Your House,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",Various Artists,2020-12-18,4.1108666666666664,87,0.49,0.00237,0.738,4.58e-06,0.0851,-7.399,0.0367,124.966,4
418,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,4.006666666666667,93,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
419,Ivy,Blonde,Frank Ocean,2016-08-20,4.153183333333334,82,0.575,0.785,0.386,0.000289,0.229,-9.584,0.037,116.408,4
420,Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,2.962,90,0.539,0.727,0.508,0.0,0.174,-6.05,0.0288,101.358,3
421,I Don't Fuck With You,Dark Sky Paradise,Big Sean,2015-02-24,4.739766666666666,76,0.824,0.0362,0.733,0.0,0.325,-5.474,0.0613,97.972,4
422,I'm Not The Only One,In The Lonely Hour,Sam Smith,2014-05-26,3.9886,89,0.677,0.529,0.485,2.04e-05,0.0766,-5.795,0.0361,82.001,4
423,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,3.533333333333333,87,0.736,0.0203,0.704,0.0,0.0501,-7.409,0.0615,149.995,4
424,Infrunami,The Lo-Fis,Steve Lacy,2020-12-04,2.9721333333333333,79,0.826,0.31,0.299,0.0952,0.0758,-7.721,0.0446,97.012,4
425,I See Red,I See Red,Everybody Loves an Outlaw,2018-10-31,3.84355,77,0.509,0.00713,0.448,0.0137,0.244,-7.552,0.0357,156.909,3
426,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.1648833333333335,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
427,I'm Still Standing,Too Low For Zero,Elton John,1983-05-30,3.0573333333333332,85,0.504,0.356,0.904,0.121,0.14,-6.863,0.179,176.808,4
428,Yes Indeed,Harder Than Ever,Lil Baby,2018-05-18,2.3712166666666668,83,0.963,0.0355,0.346,0.0,0.108,-9.309,0.53,119.957,4
429,Bad Habit,Bad Habit,Steve Lacy,2022-06-29,3.8685666666666667,93,0.686,0.626,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,4
430,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,3.2244333333333333,77,0.902,0.26,0.72,0.0,0.0749,-2.776,0.347,90.059,4
431,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.697,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3
432,Die For You,Starboy,The Weeknd,2016-11-25,4.33755,89,0.582,0.111,0.525,0.0,0.134,-7.163,0.0627,133.249,4
433,I Can't Handle Change,I Can't Handle Change,Roar,2010-03-14,3.30355,81,0.247,0.0447,0.438,0.000867,0.111,-8.478,0.0358,185.711,3
434,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,3.4878833333333334,86,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
435,i walk this earth all by myself,i walk this earth all by myself,EKKSTACY,2021-03-05,2.427233333333333,73,0.595,0.507,0.588,0.781,0.113,-11.313,0.0624,166.061,4
436,I Hate U,I Hate U,SZA,2021-12-03,2.9,80,0.535,0.507,0.388,0.0,0.11,-9.805,0.155,106.703,5
437,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,4.336216666666667,88,0.588,0.0678,0.521,0.149,0.123,-9.461,0.0329,85.012,4
438,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,3.7224333333333335,81,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4
439,Ice Ice Baby,Vanilla Ice Is Back! - Hip Hop Classics,Vanilla Ice,2008-11-04,4.2411,73,0.979,0.0025,0.792,7.71e-06,0.102,-2.784,0.0388,116.012,4
440,I Write Sins Not Tragedies,A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27,3.1105666666666667,75,0.569,0.0807,0.83,0.0,0.114,-4.106,0.14,170.094,4
441,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,3.6146666666666665,86,0.556,0.00958,0.864,0.0,0.209,-5.87,0.0584,105.143,4
442,Feathered Indians,Purgatory,Tyler Childers,2017-08-04,3.7491,79,0.536,0.75,0.574,0.00277,0.105,-6.705,0.0254,87.194,4
443,I Think I Like When It Rains,Locals 2,WILLIS,2017-06-12,4.638216666666667,76,0.622,0.0448,0.471,0.0,0.0957,-7.105,0.0277,124.455,4
444,In A Minute,It's Only Me,Lil Baby,2022-10-14,3.3411666666666666,65,0.626,0.0279,0.583,0.0,0.112,-6.102,0.334,113.42,5
445,Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,2011-08-08,3.65555,85,0.789,0.127,0.858,0.0,0.349,-5.542,0.311,140.022,4
446,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-12-02,4.2184333333333335,73,0.746,0.378,0.653,0.0,0.229,-6.745,0.289,75.016,4
447,When It Rains It Pours,This One's for You,Luke Combs,2017-06-02,4.012666666666667,80,0.551,0.013,0.801,6.03e-06,0.265,-5.069,0.0303,128.027,4
448,Is There Someone Else?,Dawn FM,The Weeknd,2022-01-06,3.3185166666666666,84,0.702,0.0388,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,4
449,Fall In Love,Fall In Love,Bailey Zimmerman,2022-02-11,3.8676333333333335,79,0.524,0.451,0.643,0.0,0.221,-6.055,0.0297,135.962,4
450,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
451,J.,Dañado,Ivan Cornejo,2022-06-02,3.9102166666666665,80,0.408,0.666,0.47,5.44e-05,0.0926,-10.149,0.0893,51.66,4
452,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
453,Jealous,Jealous,Eyedress,2019-12-06,2.0389666666666666,84,0.474,0.00491,0.921,0.85,0.476,-10.431,0.0457,93.01,4
454,Glimpse of Us,Glimpse of Us,Joji,2022-06-10,3.8909333333333334,95,0.44,0.891,0.317,4.78e-06,0.141,-9.258,0.0531,169.914,3
455,JGL,JGL,La Adictiva,2022-02-18,2.6348833333333332,86,0.702,0.55,0.586,0.0,0.27,-5.317,0.118,112.852,4
456,Jocelyn Flores,17,XXXTENTACION,2017-08-25,1.98555,85,0.872,0.469,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4
457,Jugaste y Sufrí,Corta Venas,Eslabon Armado,2020-12-18,4.586566666666666,82,0.39,0.632,0.499,0.000497,0.115,-7.778,0.0381,200.156,1
458,Jolene,Jolene,Dolly Parton,1974-02-04,2.6922166666666665,74,0.674,0.566,0.537,0.0,0.131,-10.971,0.0363,110.578,4
459,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,3.6789,83,0.635,0.0134,0.841,0.0,0.0622,-5.379,0.0422,109.021,4
460,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,2.3634166666666667,90,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
461,Judas,Born This Way,Lady Gaga,2011-01-01,4.1511,69,0.661,0.000967,0.937,1.59e-05,0.355,-3.83,0.0744,131.001,4
462,Je te laisserai des mots,Je te laisserai des mots,Patrick Watson,2010-09-10,2.6808833333333335,85,0.303,0.989,0.187,0.489,0.101,-16.757,0.0356,132.731,4
463,Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,7.308216666666667,78,0.749,0.41,0.497,0.0499,0.0504,-12.609,0.105,95.818,4
464,"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,2.886,84,0.695,0.198,0.575,0.0,0.0614,-6.334,0.116,163.929,4
465,Day Dream,Street Of Dreams,Bill Charlap Trio,2021-11-12,6.230666666666667,66,0.432,0.909,0.0951,0.89,0.117,-23.511,0.0388,100.265,4
466,Ms. Jackson,Stankonia,Outkast,2000-10-31,4.5084333333333335,83,0.843,0.143,0.806,0.0,0.0771,-5.946,0.269,94.948,4
467,Without A Song,Without A Song,Meadow Park,2022-09-02,3.9464166666666665,68,0.475,0.965,0.138,0.884,0.0971,-17.099,0.0424,118.338,4
468,July,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,2.601766666666667,81,0.708,0.868,0.186,0.0,0.0779,-8.953,0.042,72.541,4
469,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.339,100.028,4
470,Let's Not,Blueberry Street,Danny Ryan Jazz Band,2022-06-05,4.42195,57,0.392,0.953,0.0946,0.702,0.107,-18.784,0.0285,92.183,4
471,Just Dance,The Fame,Lady Gaga,2008-01-01,4.032216666666667,76,0.822,0.0264,0.739,4.26e-05,0.181,-4.541,0.0311,118.992,4
472,Mornin,Mornin,James Earle Trio,2022-07-29,2.5547833333333334,61,0.491,0.878,0.168,0.799,0.0901,-19.009,0.0391,134.011,4
473,Japanese Denim,Get You - Single,Daniel Caesar,2016-10-21,4.5141,79,0.707,0.0905,0.238,2.42e-06,0.0842,-8.818,0.0379,124.156,3
474,Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,4.8971,85,0.92,0.0236,0.654,0.0153,0.036,-3.051,0.0401,117.046,4
475,Boyfriend,Believe,Justin Bieber,2012-01-01,2.85555,75,0.717,0.0358,0.55,0.00196,0.126,-6.019,0.0521,96.976,4
476,Juliet,Animal Kingdom,Cavetown,2019-04-12,4.64985,80,0.546,0.00346,0.586,0.00114,0.0562,-8.488,0.0313,131.778,4
477,Get Ready,Get Ready,2 Unlimited,1992-02-24,3.7151833333333335,61,0.77,0.0171,0.875,4.37e-05,0.0457,-5.222,0.107,124.841,4
478,Juice WRLD DID (feat. Juice WRLD),GOD DID,DJ Khaled,2022-08-26,3.4608333333333334,76,0.652,0.0196,0.716,0.0,0.11,-4.012,0.166,147.959,4
479,Don't Think Jesus,Don't Think Jesus,Morgan Wallen,2022-04-15,3.7829166666666665,76,0.578,0.469,0.431,0.0,0.137,-7.034,0.0269,116.979,3
480,Feathered Indians,Purgatory,Tyler Childers,2017-08-04,3.7491,79,0.536,0.75,0.574,0.00277,0.105,-6.705,0.0254,87.194,4
481,Jessie's Girl,Working Class Dog,Rick Springfield,1981,3.235333333333333,73,0.727,0.165,0.834,0.0,0.105,-5.851,0.0496,131.7,4
482,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,3.513333333333333,84,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4
483,Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,2020-12-23,3.6904333333333335,76,0.584,0.0119,0.911,0.0,0.119,-3.515,0.09,92.502,4
484,Jungle,Artist,A Boogie Wit da Hoodie,2016-09-16,2.9032,75,0.538,0.308,0.52,0.0,0.214,-11.063,0.737,180.274,4
485,JOJO SONO CHINO SADAME,JOJO SONO CHINO SADAME,Hiroaki Tommy Tominaga,2012-11-21,4.3761,63,0.429,0.0986,0.979,2.32e-06,0.302,-2.204,0.119,146.145,4
486,Jack & Diane,American Fool,John Mellencamp,1982,4.24155,75,0.811,0.0365,0.41,6.63e-06,0.0799,-8.214,0.0391,103.965,4
487,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,3.455016666666667,88,0.639,0.0889,0.703,1.78e-06,0.0865,-6.33,0.0794,169.888,4
488,Sometimes,Fighting Demons (Deluxe),Juice WRLD,2022-03-18,4.327866666666667,75,0.674,0.0609,0.58,0.0,0.159,-4.866,0.0311,121.987,4
489,Jungle,If You're Reading This It's Too Late,Drake,2015-02-12,5.34,75,0.697,0.62,0.235,0.000144,0.107,-8.651,0.0534,99.947,4
490,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,3.533333333333333,87,0.736,0.0203,0.704,0.0,0.0501,-7.409,0.0615,149.995,4
491,Last Train Home,Sob Rock,John Mayer,2021-07-16,3.121766666666667,70,0.591,0.235,0.831,0.00142,0.0571,-6.612,0.0355,93.007,4
492,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004-03-23,4.172883333333333,83,0.894,0.0183,0.791,0.0,0.0388,-4.699,0.112,105.018,4
493,Siempre Pendientes,Siempre Pendientes,Peso Pluma,2022-08-15,3.1138,88,0.774,0.331,0.748,0.0057,0.126,-7.086,0.0352,135.929,3
494,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,4.04555,82,0.778,0.346,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
495,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,3.99725,86,0.511,0.349,0.566,0.0,0.34,-7.23,0.2,83.903,4
496,Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,5.046,77,0.889,0.47,0.818,0.0,0.179,-4.639,0.253,96.063,4
497,Spiral - Mono,Giant Steps (Mono),John Coltrane,1960,6.013916666666667,55,0.514,0.403,0.307,0.448,0.0926,-12.92,0.0358,92.265,4
498,Juice,Cuz I Love You,Lizzo,2019-04-19,3.2524,77,0.767,0.00611,0.889,0.0,0.402,-2.988,0.0963,119.93,4
499,She Likes It (feat. Jake Scott),She Likes It (feat. Jake Scott),Russell Dickerson,2021-11-05,2.72185,77,0.79,0.509,0.325,0.0,0.155,-11.689,0.127,126.877,4
500,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,4.049416666666667,85,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4
501,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,2.6157166666666667,100,0.714,0.013,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,4
502,King For A Day,Collide With The Sky,Pierce The Veil,2012-07-17,3.9382166666666665,80,0.403,3.81e-05,0.965,0.000276,0.341,-2.238,0.0964,112.363,4
503,K.,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,5.326,79,0.454,0.146,0.404,0.819,0.141,-10.26,0.027,94.113,4
504,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,3.0064333333333333,85,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
505,KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,2022-06-10,2.4596666666666667,88,0.649,0.307,0.655,0.0,0.22,-5.534,0.0652,92.9,4
506,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,2015-09-21,2.4179666666666666,81,0.753,0.326,0.68,4.15e-05,0.423,-7.092,0.0349,105.977,4
507,The Kind of Love We Make,The Kind of Love We Make,Luke Combs,2022-06-17,3.7404333333333333,82,0.608,0.0226,0.745,6.47e-06,0.0942,-4.13,0.0277,102.025,4
508,Keep Driving,Harry's House,Harry Styles,2022-05-20,2.33735,82,0.721,0.321,0.479,0.00156,0.182,-9.669,0.226,164.948,3
509,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
510,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,3.8786666666666667,82,0.647,0.219,0.822,0.0,0.0908,-4.662,0.183,160.019,4
511,Kilby Girl,When We Were Friends,The Backseat Lovers,2019-01-27,4.703416666666667,78,0.329,0.0578,0.444,0.0352,0.113,-9.973,0.0417,162.279,4
512,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
513,Good 4 U,KIDZ BOP 2022,Kidz Bop Kids,2021-10-22,2.77355,59,0.559,0.00888,0.701,7.95e-05,0.0817,-5.217,0.138,167.784,4
514,Kryptonite,The Better Life,3 Doors Down,2000,3.8988833333333335,80,0.545,0.00664,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,4
515,Thought You Should Know,Thought You Should Know,Morgan Wallen,2022-05-06,3.59285,80,0.529,0.488,0.695,1.24e-05,0.142,-6.174,0.0278,139.993,4
516,How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,2.7231,74,0.571,0.649,0.307,0.0,0.178,-10.958,0.0499,83.72,4
517,Kickstart My Heart,Dr. Feelgood (Deluxe Version),Mötley Crüe,1989-09-01,4.733766666666667,79,0.465,0.00111,0.977,0.00298,0.201,-3.839,0.175,89.535,4
518,Bound 2,Yeezus,Kanye West,2013-06-18,3.8191,89,0.367,0.145,0.665,0.0,0.113,-2.821,0.0465,148.913,4
519,KICK BACK,KICK BACK,Kenshi Yonezu,2022-10-12,3.2249166666666667,79,0.577,0.00207,0.941,3.36e-06,0.0891,-5.17,0.105,101.921,4
520,Kiss Me Thru The Phone,iSouljaBoyTellem,Soulja Boy,2008-01-01,3.2231,78,0.758,0.0185,0.712,0.0,0.0677,-3.781,0.112,149.998,4
521,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,3.3364166666666666,89,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4
522,Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,3.4777666666666667,82,0.764,0.259,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4
523,Shake Them Skeleton Bones,Preschool Halloween Songs,The Kiboomers,2013-09-17,2.334966666666667,44,0.85,0.492,0.51,0.0,0.0538,-9.327,0.117,138.045,4
524,Kevin’s Heart,KOD,J. Cole,2018-04-20,3.3384833333333335,76,0.829,0.482,0.527,0.0,0.631,-6.644,0.367,116.079,4
525,Drowning (feat. Kodak Black),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,3.487816666666667,80,0.839,0.501,0.81,0.0,0.117,-5.274,0.0568,129.014,4
526,Touch The Sky,Late Registration,Kanye West,2005-08-30,3.9433333333333334,74,0.552,0.0114,0.846,0.0,0.309,-4.912,0.342,98.56,1
527,Kingston,Atlanta Millionaires Club,Faye Webster,2019-05-24,3.37755,75,0.73,0.154,0.355,0.00155,0.117,-9.13,0.0359,142.143,4
528,Heartless,808s & Heartbreak,Kanye West,2008-11-24,3.5166666666666666,86,0.79,0.0515,0.647,0.0,0.248,-5.983,0.136,87.999,4
529,Baby Shark,Pinkfong Animal Songs,Pinkfong,2017-07-27,1.3487833333333332,77,0.829,0.259,0.886,0.0,0.0559,-1.746,0.112,115.056,4
530,The Less I Know The Better,Currents,Tame Impala,2015-07-17,3.6053333333333333,85,0.64,0.0115,0.74,0.00678,0.167,-4.083,0.0284,116.879,4
531,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,3.9591,74,0.669,0.0106,0.832,0.0,0.0968,-5.721,0.0682,113.035,4
532,After LIKE,After LIKE,IVE,2022-08-22,2.94955,89,0.68,0.103,0.922,0.0,0.0877,-1.215,0.121,125.014,4
